algorithm,dataset_type,size,rank_label,k,trial_count,median_time_seconds,mean_time_seconds,standard_deviation_seconds,minimum_time_seconds,maximum_time_seconds,comparisons,swaps,partition_calls,pivot_selections,recursive_calls,maximum_depth,groups_processed,small_group_sorts,status,error_message
Median of Medians,reverse_sorted,1000,median,500,5,0.0011573750016395934,0.0011554584008990787,8.709794652581622e-06,0.0011443340044934303,0.0011656249989755452,9055,5179,74,74,88,9,621,621,completed,
Median of Medians,reverse_sorted,1000,p90,900,5,0.0011436669956310652,0.0011434665982960723,2.28038026768833e-06,0.0011392910018912517,0.0011457079963292927,9128,4860,86,86,104,11,638,638,completed,
Median of Medians,reverse_sorted,3500,minimum,1,5,0.0041421660062042065,0.0041439082036959,1.6691980185762234e-05,0.00411716600501677,0.004164209000009578,33195,18392,198,198,243,13,2290,2290,completed,
Median of Medians,reverse_sorted,3500,median,1750,5,0.004050957999425009,0.004058449799777009,1.1287904171568807e-05,0.004048832997796126,0.004077458004758228,32447,18355,171,171,210,12,2205,2205,completed,
Median of Medians,reverse_sorted,3500,p90,3150,5,0.003974958002800122,0.003983866400085389,1.3625710464386045e-05,0.003971250000176951,0.004006832998129539,32606,17192,184,184,222,13,2244,2244,completed,
Median of Medians,reverse_sorted,5000,minimum,1,5,0.005849916997249238,0.005846591998124495,2.09727518678157e-05,0.005821208993438631,0.005870291999599431,47306,26319,219,219,263,13,3239,3239,completed,
Median of Medians,reverse_sorted,5000,median,2500,5,0.005805082997540012,0.005804099801753182,2.26846263235519e-05,0.005775791003543418,0.005838291006512009,46758,26319,197,197,234,11,3170,3170,completed,
Median of Medians,reverse_sorted,5000,p90,4500,5,0.005681165996065829,0.005677458200079854,1.327908028578828e-05,0.005656083005305845,0.005690582998795435,47015,24678,218,218,262,13,3230,3230,completed,
Median of Medians,reverse_sorted,7000,minimum,1,5,0.008219582996389363,0.00828449980035657,0.00012538315026076736,0.008198625000659376,0.008531833002052736,66657,36950,289,289,346,14,4557,4557,completed,
Median of Medians,reverse_sorted,7000,median,3500,5,0.008159125005477108,0.008159050199901685,1.6960842355164913e-05,0.008133834002364893,0.008187166997231543,65817,36901,262,262,313,13,4463,4463,completed,
Median of Medians,reverse_sorted,7000,p90,6300,5,0.007944457996927667,0.007953408399771433,3.430866575635759e-05,0.007916292001027614,0.008017459003895056,65752,34466,268,268,319,13,4502,4502,completed,
Median of Medians,reverse_sorted,10000,minimum,1,5,0.011750582998502068,0.011758175199793186,2.8216571687421326e-05,0.011720667003828567,0.011791375000029802,95625,52966,348,348,417,14,6520,6520,completed,
Median of Medians,reverse_sorted,10000,median,5000,5,0.0117421250033658,0.011733208401710726,2.6423550230535892e-05,0.011685500001476612,0.011764291004510596,95059,52978,326,326,389,13,6447,6447,completed,
Median of Medians,reverse_sorted,10000,p90,9000,5,0.011453625003923662,0.011448525000014342,2.6201796520322652e-05,0.011405874996853527,0.011480542001663707,95183,49559,358,358,428,15,6528,6528,completed,
Median of Medians,repeated_values,100,minimum,1,5,9.154200233751908e-05,9.235020115738735e-05,1.7769761417837584e-06,9.108400263357908e-05,9.587499516783282e-05,769,304,15,15,15,6,64,64,completed,
Median of Medians,repeated_values,100,median,50,5,6.104099884396419e-05,6.1016398831270635e-05,7.712275907972284e-08,6.0874997870996594e-05,6.108300294727087e-05,525,225,7,7,7,4,44,44,completed,
Median of Medians,repeated_values,100,p90,90,5,4.712500231107697e-05,4.717519914265722e-05,8.933019060861234e-08,4.708299820777029e-05,4.7333996917586774e-05,390,128,9,9,9,4,35,35,completed,
Median of Medians,repeated_values,1000,minimum,1,5,0.0008326249953825027,0.0008336915998370387,4.13599473282426e-06,0.0008289999968837947,0.0008407909990637563,7724,3394,21,21,23,8,605,605,completed,
Median of Medians,repeated_values,1000,median,500,5,0.0005924169963691384,0.0005919417992117815,2.55723758326543e-06,0.0005888329978915863,0.0005958330002613366,5259,2451,10,10,11,6,428,428,completed,
Median of Medians,repeated_values,1000,p90,900,5,0.00042099999700440094,0.0004214081985992379,1.8228140024442897e-06,0.0004195000001345761,0.0004248749974067323,3843,1423,12,12,14,6,327,327,completed,
Median of Medians,repeated_values,3500,minimum,1,5,0.0029740419995505363,0.002978433399403002,2.31010239628237e-05,0.0029510829990613274,0.0030197500018402934,27092,12007,25,25,26,8,2107,2107,completed,
Median of Medians,repeated_values,3500,median,1750,5,0.002110333000018727,0.002116116799879819,1.0216956968813109e-05,0.002105957995809149,0.002133166999556124,18405,8636,11,11,12,7,1490,1490,completed,
Median of Medians,repeated_values,3500,p90,3150,5,0.0014746669985470362,0.0014770081994356587,5.755987172310213e-06,0.0014709579991176724,0.0014875420019961894,13472,5044,15,15,17,7,1142,1142,completed,
Median of Medians,repeated_values,5000,minimum,1,5,0.004235041997162625,0.004243341799883638,1.4693845289357185e-05,0.004227165998599958,0.004267459000402596,38682,17147,26,26,27,8,3005,3005,completed,
Median of Medians,repeated_values,5000,median,2500,5,0.003017707997059915,0.00302221659803763,1.4749430039869123e-05,0.003010041000379715,0.003050666993658524,26293,12346,12,12,13,7,2128,2128,completed,
Median of Medians,repeated_values,5000,p90,4500,5,0.0021116669959155843,0.002116433398623485,1.5760148864830563e-05,0.002103999999235384,0.002147207997040823,19243,7218,15,15,17,7,1627,1627,completed,
Median of Medians,repeated_values,7000,minimum,1,5,0.005946332996245474,0.005953033201512881,1.339694779438154e-05,0.005938833004620392,0.00597254100284772,54214,24062,29,29,29,9,4212,4212,completed,
Median of Medians,repeated_values,7000,median,3500,5,0.004258916997059714,0.0042545165997580625,1.74049174226637e-05,0.004233709005347919,0.004278958003851585,36841,17300,14,14,14,7,2982,2982,completed,
Median of Medians,repeated_values,7000,p90,6300,5,0.002965166000649333,0.0029706250003073364,1.0971019634848232e-05,0.0029600420020869933,0.0029861250004614703,27006,10124,20,20,20,7,2287,2287,completed,
Median of Medians,repeated_values,10000,minimum,1,5,0.008530832994438242,0.008530233199417125,1.656413499834385e-05,0.008499832998495549,0.008547249999537598,77473,34464,29,29,29,9,6008,6008,completed,
Median of Medians,repeated_values,10000,median,5000,5,0.006091082999773789,0.006105499800469261,4.183009642766022e-05,0.006043125002179295,0.0061550000027637,52594,24721,13,13,13,7,4254,4254,completed,
Median of Medians,repeated_values,10000,p90,9000,5,0.004244291005306877,0.004242183199676219,1.2712045261328212e-05,0.004224707998218946,0.004261624999344349,38509,14469,18,18,18,7,3255,3255,completed,
Randomized Quickselect,random,100,minimum,1,5,3.504200140014291e-05,3.511679969960824e-05,2.534065275613053e-07,3.4874996345024556e-05,3.554200520738959e-05,258,140,5,5,5,5,0,0,completed,
Randomized Quickselect,random,100,median,50,5,6.779199611628428e-05,6.86585990479216e-05,1.6834319306411847e-06,6.762499833712354e-05,7.200000254670158e-05,674,293,10,10,10,10,0,0,completed,
Randomized Quickselect,random,100,p90,90,5,3.804199513979256e-05,3.8133197813294827e-05,3.0552853210303995e-07,3.7790996429976076e-05,3.870799992000684e-05,318,147,5,5,5,5,0,0,completed,
Randomized Quickselect,random,1000,minimum,1,5,0.0003240830046706833,0.0003231750015402213,4.8477593712327796e-06,0.0003161249987897463,0.00032970900065265596,3128,1630,9,9,9,9,0,0,completed,
Randomized Quickselect,random,1000,median,500,5,0.0004309170035412535,0.0004357000012532808,9.087670297581195e-06,0.0004297909981687553,0.00045362500532064587,4783,2379,11,11,11,11,0,0,completed,
Randomized Quickselect,random,1000,p90,900,5,0.00031437500001629815,0.0003164995985571295,4.093889641989848e-06,0.00031404099718201905,0.00032462499802932143,3138,1621,8,8,8,8,0,0,completed,
Randomized Quickselect,random,3500,minimum,1,5,0.000997707997157704,0.0009942749995389022,1.8176248566166822e-05,0.0009735839994391426,0.0010233749999315478,9990,4828,9,9,10,10,0,0,completed,
Randomized Quickselect,random,3500,median,1750,5,0.0012562909978441894,0.0012623749993508683,1.182683467814629e-05,0.001251041001523845,0.0012827500031562522,13236,5507,12,12,13,13,0,0,completed,
Randomized Quickselect,random,3500,p90,3150,5,0.0009818749967962503,0.000987391802482307,1.2177134495180655e-05,0.0009782500055735,0.0010111670053447597,9553,4831,10,10,10,10,0,0,completed,
